dataset,config,seed,seen60_acc,new150_acc,all210_acc,epochs_used
dataset1_clean,softmax_linear,2026,0.8666666666666667,0.8866666666666667,0.8809523809523809,891
dataset1_clean,softmax_linear,2027,0.8666666666666667,0.8933333333333333,0.8857142857142857,790
dataset1_clean,softmax_linear,2028,0.85,0.8933333333333333,0.8809523809523809,501
dataset1_clean,softmax_linear,2029,0.8666666666666667,0.8866666666666667,0.8809523809523809,772
dataset1_clean,softmax_linear,2030,0.8666666666666667,0.8866666666666667,0.8809523809523809,496
dataset1_clean,mlp_8_relu,2026,0.9666666666666667,0.9666666666666667,0.9666666666666667,759
dataset1_clean,mlp_8_relu,2027,0.8833333333333333,0.8733333333333333,0.8761904761904762,231
dataset1_clean,mlp_8_relu,2028,0.8833333333333333,0.8866666666666667,0.8857142857142857,237
dataset1_clean,mlp_8_relu,2029,0.9666666666666667,0.9333333333333333,0.9428571428571428,259
dataset1_clean,mlp_8_relu,2030,0.9666666666666667,0.9666666666666667,0.9666666666666667,1200
dataset1_clean,mlp_16_tanh,2026,0.9833333333333333,0.9733333333333334,0.9761904761904762,603
dataset1_clean,mlp_16_tanh,2027,0.9833333333333333,0.9733333333333334,0.9761904761904762,717
dataset1_clean,mlp_16_tanh,2028,0.9833333333333333,0.9533333333333334,0.9619047619047619,413
dataset1_clean,mlp_16_tanh,2029,0.9833333333333333,0.9933333333333333,0.9904761904761905,1200
dataset1_clean,mlp_16_tanh,2030,1.0,0.9933333333333333,0.9952380952380953,1080
dataset1_clean,mlp_16_8_relu_l2,2026,1.0,0.9733333333333334,0.9809523809523809,796
dataset1_clean,mlp_16_8_relu_l2,2027,0.9166666666666666,0.9133333333333333,0.9142857142857143,241
dataset1_clean,mlp_16_8_relu_l2,2028,0.85,0.9066666666666666,0.8904761904761904,207
dataset1_clean,mlp_16_8_relu_l2,2029,0.9833333333333333,0.9666666666666667,0.9714285714285714,641
dataset1_clean,mlp_16_8_relu_l2,2030,1.0,0.9733333333333334,0.9809523809523809,839
dataset1_clean,mlp_32_16_relu_l2,2026,0.9833333333333333,0.98,0.9809523809523809,712
dataset1_clean,mlp_32_16_relu_l2,2027,0.9833333333333333,0.9466666666666667,0.9571428571428572,396
dataset1_clean,mlp_32_16_relu_l2,2028,0.9,0.8933333333333333,0.8952380952380953,204
dataset1_clean,mlp_32_16_relu_l2,2029,0.9833333333333333,0.9666666666666667,0.9714285714285714,434
dataset1_clean,mlp_32_16_relu_l2,2030,0.9666666666666667,0.96,0.9619047619047619,617
dataset2_noisy,softmax_linear,2026,0.9166666666666666,0.8866666666666667,0.8952380952380953,406
dataset2_noisy,softmax_linear,2027,0.8833333333333333,0.9,0.8952380952380953,396
dataset2_noisy,softmax_linear,2028,0.9,0.9,0.9,828
dataset2_noisy,softmax_linear,2029,0.9,0.8866666666666667,0.8904761904761904,892
dataset2_noisy,softmax_linear,2030,0.9,0.8933333333333333,0.8952380952380953,1141
dataset2_noisy,mlp_8_relu,2026,0.9,0.8666666666666667,0.8761904761904762,205
dataset2_noisy,mlp_8_relu,2027,0.8833333333333333,0.92,0.9095238095238095,521
dataset2_noisy,mlp_8_relu,2028,0.9,0.9066666666666666,0.9047619047619048,227
dataset2_noisy,mlp_8_relu,2029,0.8666666666666667,0.9266666666666666,0.9095238095238095,444
dataset2_noisy,mlp_8_relu,2030,0.8666666666666667,0.94,0.919047619047619,834
dataset2_noisy,mlp_16_tanh,2026,0.9,0.9333333333333333,0.9238095238095239,275
dataset2_noisy,mlp_16_tanh,2027,0.8666666666666667,0.9333333333333333,0.9142857142857143,385
dataset2_noisy,mlp_16_tanh,2028,0.8833333333333333,0.94,0.9238095238095239,311
dataset2_noisy,mlp_16_tanh,2029,0.85,0.94,0.9142857142857143,455
dataset2_noisy,mlp_16_tanh,2030,0.9,0.94,0.9285714285714286,265
dataset2_noisy,mlp_16_8_relu_l2,2026,0.9,0.8866666666666667,0.8904761904761904,204
dataset2_noisy,mlp_16_8_relu_l2,2027,0.8833333333333333,0.9466666666666667,0.9285714285714286,352
dataset2_noisy,mlp_16_8_relu_l2,2028,0.9,0.94,0.9285714285714286,356
dataset2_noisy,mlp_16_8_relu_l2,2029,0.9166666666666666,0.9533333333333334,0.9428571428571428,319
dataset2_noisy,mlp_16_8_relu_l2,2030,0.8833333333333333,0.96,0.9380952380952381,299
dataset2_noisy,mlp_32_16_relu_l2,2026,0.9,0.8933333333333333,0.8952380952380953,196
dataset2_noisy,mlp_32_16_relu_l2,2027,0.9,0.9466666666666667,0.9333333333333333,417
dataset2_noisy,mlp_32_16_relu_l2,2028,0.8833333333333333,0.9266666666666666,0.9142857142857143,254
dataset2_noisy,mlp_32_16_relu_l2,2029,0.9,0.9466666666666667,0.9333333333333333,1200
dataset2_noisy,mlp_32_16_relu_l2,2030,0.8666666666666667,0.9533333333333334,0.9285714285714286,329
